"division.id","division.house","division.name","division.date","division.number","division.clock_time","division.aye_votes","division.no_votes","division.possible_turnout","division.rebellions","division.edited","vote","strong","policy_id","policy_name"
1477,"rada","Поіменне голосування  про проект Закону про внесення змін до Закону України ""Про звернення громадян"" щодо електронного звернення та електронної петиції (№2299) - за основу","2015-04-09",1477,"18:54",234,0,424,62,TRUE,"aye",TRUE,40,"За політичний курс Президента"
1037,"rada","Поіменне голосування  про проект Закону про чисельність Збройних Сил України (№2269) - за основу та в цілому","2015-03-05",1037,"11:57",270,0,403,19,TRUE,"aye",TRUE,40,"За політичний курс Президента"
3462,"rada","Поіменне голосування  про проект Постанови про попереднє схвалення законопроекту про внесення змін до Конституції України щодо децентралізації влади (№2217а/П1) - в цілому","2015-08-31",3462,"13:00",265,87,424,41,TRUE,"aye",TRUE,40,"За політичний курс Президента"
2933,"rada","Поіменне голосування про проект Постанови про призначення Грицака В.С. на посаду Голови Служби безпеки України (№2204а) - в цілому","2015-07-02",2933,"11:44",340,1,425,21,TRUE,"aye",TRUE,40,"За політичний курс Президента"
1031,"rada","Поіменне голосування  про проект Закону про внесення зміни до статті 73 Кодексу законів про працю України (щодо встановлення святкового дня - День захисника України) (№2187) - за основу та в цілому","2015-03-05",1031,"10:55",244,1,403,52,TRUE,"aye",TRUE,40,"За політичний курс Президента"
1032,"rada","Поіменне голосування  про розгляд за скороченою процедурою проекту Закону про внесення змін до статті 28 Бюджетного кодексу України щодо доступу до інформації про бюджетні показники у формі відкритих даних (№2172)","2015-03-05",1032,"10:57",205,0,403,51,TRUE,"aye",FALSE,40,"За політичний курс Президента"
1453,"rada","Поіменне голосування  про проект Закону про внесення змін до статті 28 Бюджетного кодексу України щодо доступу до інформації про бюджетні показники у формі відкритих даних (№2172) - у другому читанні та в цілому","2015-04-09",1453,"17:35",265,0,424,63,TRUE,"aye",TRUE,40,"За політичний курс Президента"
1029,"rada","Поіменне голосування  про проект Закону про внесення змін до деяких законів України щодо доступу до публічної інформації у формі відкритих даних (№2171) - за основу","2015-03-05",1029,"10:38",243,0,403,56,TRUE,"aye",TRUE,40,"За політичний курс Президента"
1452,"rada","Поіменне голосування  про проект Закону про внесення змін до деяких законів України щодо доступу до публічної інформації у формі відкритих даних (№2171) - у другому читанні та в цілому","2015-04-09",1452,"17:34",279,0,424,50,TRUE,"aye",TRUE,40,"За політичний курс Президента"
2662,"rada","Поіменне голосування  про проект Постанови про звільнення Наливайченка В.О. з посади Голови Служби безпеки України (№2110а) - в цілому","2015-06-18",2662,"12:07",248,8,425,67,TRUE,"aye",TRUE,40,"За політичний курс Президента"
3376,"rada","Поіменне голосування  про проект Закону про внесення змін до деяких законодавчих актів України щодо порядку переміщення товарів до району або з району проведення антитерористичної операції (№2109а) - за основу та в цілому","2015-07-17",3376,"12:46",250,0,424,41,TRUE,"aye",TRUE,40,"За політичний курс Президента"
938,"rada","Поіменне голосування  про проект Закону про внесення змін до деяких законодавчих актів України щодо відповідальності пов'язаних із банком осіб (№2085) - за основу та в цілому","2015-03-02",938,"21:15",260,0,424,19,TRUE,"aye",TRUE,40,"За політичний курс Президента"
